"","non_treatment_1","non_treatment_2","non_treatment_3","control_1","control_2","control_3","siSOX10_1","siSOX10_2","siSOX10_3","siSOX10_control_1","siSOX10_control_2","siSOX10_control_3"
"ENSG00000171735.21",1050,865,1195,1208,1084,1413,799,923,1169,1185,938,1350
"ENSG00000227950.1",0,0,0,0,0,0,1,0,0,0,0,0
"ENSG00000237365.1",0,0,0,0,0,0,0,0,0,0,1,0
"ENSG00000207056.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000310450.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000237402.2",1,1,0,2,2,0,1,0,2,0,1,2
"ENSG00000237728.3",0,0,0,0,0,0,0,0,0,0,3,0
"ENSG00000294314.1",0,0,0,1,0,0,0,0,0,0,0,0
"ENSG00000225126.2",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000298973.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000306883.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000302704.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000270171.1",0,0,0,0,0,0,0,0,3,0,7,0
"ENSG00000270035.1",0,0,0,2,2,0,0,0,0,0,0,0
"ENSG00000269978.2",3,3,4,11,15,6,5,8,2,3,14,9
"ENSG00000300603.1",0,0,0,0,0,1,0,0,0,0,0,1
"ENSG00000049245.13",2767,2239,3259,2273,2466,3141,2527,2776,3238,2792,2143,2849
"ENSG00000269925.1",0,0,0,0,3,2,0,0,0,1,0,2
"ENSG00000049246.16",319,396,711,579,503,550,856,1004,612,515,427,367
